0,2485.16
0.015625,2478.68
0.03125,2460.33
0.046875,2430.27
0.0625,2388.82
0.078125,2336.35
0.09375,2273.38
0.109375,2200.51
0.125,2118.43
0.140625,2027.95
0.15625,1929.92
0.171875,1825.29
0.1875,1715.06
0.203125,1600.3
0.21875,1482.1
0.234375,1361.6
0.25,1239.96
0.265625,1118.34
0.28125,997.912
0.296875,879.837
0.3125,765.247
0.328125,655.241
0.34375,550.876
0.359375,453.155
0.375,363.015
0.390625,281.324
0.40625,208.866
0.421875,146.336
0.4375,94.3348
0.453125,53.3623
0.46875,23.8118
0.484375,5.96728
